"image_url","x","y"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-1.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","B"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","C"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","E","D"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","A","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","B","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","C","E"
"http://jdadesign.net/turk/palettes-sym/palette-2.png","D","E"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","B","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","C","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","D","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","E","A"
"http://jdadesign.net/turk/palettes-sym/palette-3.png","A","B"
